id,label
0,6
1,0
2,1
3,7
4,6
5,7
6,3
7,4
8,2
9,2
10,1
11,8
12,0
13,2
14,8
15,5
16,5
17,2
18,5
19,6
20,2
21,6
22,9
23,6
24,1
25,5
26,1
27,6
28,8
29,3
30,3
31,0
32,5
33,2
34,7
35,1
36,9
37,5
38,6
39,9
40,2
41,4
42,7
43,6
44,6
45,2
46,9
47,9
48,6
49,0
50,6
51,5
52,9
53,6
54,5
55,5
56,3
57,4
58,1
59,5
60,8
61,3
62,4
63,9
64,2
65,8
66,8
67,7
68,6
69,3
70,9
71,8
72,9
73,7
74,4
75,6
76,7
77,1
78,9
79,0
80,4
81,7
82,0
83,7
84,8
85,9
86,1
87,0
88,9
89,9
90,4
91,8
92,7
93,2
94,0
95,2
96,7
97,3
98,1
99,7
100,9
101,7
102,3
103,7
104,2
105,0
106,1
107,3
108,6
109,6
110,6
111,8
112,1
113,5
114,3
115,7
116,2
117,4
118,6
119,0
120,9
121,5
122,0
123,0
124,7
125,2
126,1
127,6
128,0
129,7
130,6
131,5
132,0
133,0
134,2
135,5
136,5
137,5
138,6
139,0
140,7
141,5
142,1
143,6
144,7
145,5
146,9
147,4
148,2
149,5
150,8
151,2
152,0
153,7
154,8
155,8
156,1
157,7
158,9
159,1
160,5
161,7
162,9
163,1
164,6
165,4
166,6
167,6
168,4
169,7
170,5
171,6
172,4
173,8
174,6
175,4
176,2
177,3
178,4
179,1
180,6
181,4
182,2
183,5
184,6
185,2
186,1
187,5
188,5
189,8
190,4
191,7
192,1
193,6
194,7
195,8
196,6
197,0
198,7
199,9
200,0
201,6
202,7
203,3
204,3
205,5
206,0
207,6
208,4
209,9
210,1
211,0
212,0
213,2
214,2
215,4
216,8
217,7
218,6
219,7
220,4
221,5
222,6
223,6
224,6
225,1
226,7
227,1
228,7
229,6
230,9
231,6
232,9
233,0
234,8
235,9
236,6
237,3
238,5
239,2
240,2
241,9
242,7
243,2
244,8
245,5
246,6
247,3
248,9
249,9
250,7
251,6
252,4
253,5
254,6
255,3
256,4
257,9
258,5
259,8
260,8
261,1
262,0
263,6
264,0
265,8
266,4
267,3
268,3
269,9
270,6
271,2
272,9
273,1
274,6
275,9
276,3
277,0
278,9
279,7
280,8
281,9
282,5
283,5
284,3
285,0
286,9
287,4
288,1
289,7
290,8
291,1
292,6
293,0
294,1
295,3
296,2
297,7
298,0
299,2
300,8
301,4
302,7
303,9
304,4
305,2
306,1
307,8
308,4
309,6
310,5
311,8
312,2
313,5
314,4
315,5
316,5
317,4
318,1
319,0
320,7
321,4
322,3
323,2
324,1
325,6
326,2
327,5
328,3
329,0
330,7
331,0
332,6
333,7
334,3
335,6
336,4
337,4
338,3
339,9
340,9
341,2
342,2
343,5
344,8
345,0
346,5
347,6
348,0
349,0
350,5
351,2
352,0
353,5
354,3
355,8
356,7
357,6
358,8
